DATE,VALUE
1/1/39,29923
2/1/39,30100
3/1/39,30280
4/1/39,30094
5/1/39,30300
6/1/39,30502
7/1/39,30419
8/1/39,30662
9/1/39,31032
10/1/39,31408
11/1/39,31469
12/1/39,31539
1/1/40,31603
2/1/40,31715
3/1/40,31826
4/1/40,31699
5/1/40,31880
6/1/40,31978
7/1/40,31942
8/1/40,32352
9/1/40,32810
10/1/40,33265
11/1/40,33668
12/1/40,34172
1/1/41,34480
2/1/41,34844
3/1/41,35094
4/1/41,35468
5/1/41,36182
6/1/41,36651
7/1/41,37137
8/1/41,37544
9/1/41,37836
10/1/41,37948
11/1/41,38024
12/1/41,38104
1/1/42,38348
2/1/42,38513
3/1/42,38936
4/1/42,39351
5/1/42,39772
6/1/42,40028
7/1/42,40470
8/1/42,40988
9/1/42,41254
10/1/42,41514
11/1/42,41673
12/1/42,41915
1/1/43,42174
2/1/43,42395
3/1/43,42553
4/1/43,42646
5/1/43,42596
6/1/43,42781
7/1/43,42701
8/1/43,42546
9/1/43,42484
10/1/43,42675
11/1/43,42819
12/1/43,42747
1/1/44,42661
2/1/44,42543
3/1/44,42291
4/1/44,42062
5/1/44,41985
6/1/44,41947
7/1/44,41904
8/1/44,41848
9/1/44,41671
10/1/44,41708
11/1/44,41711
12/1/44,41861
1/1/45,41903
2/1/45,41903
3/1/45,41795
4/1/45,41443
5/1/45,41304
6/1/45,41148
7/1/45,40873
8/1/45,40466
9/1/45,38500
10/1/45,38598
11/1/45,38996
12/1/45,39111
1/1/46,39839
2/1/46,39250
3/1/46,40192
4/1/46,40908
5/1/46,41348
6/1/46,41732
7/1/46,42153
8/1/46,42642
9/1/46,42908
10/1/46,43094
11/1/46,43396
12/1/46,43379
1/1/47,43545
2/1/47,43563
3/1/47,43605
4/1/47,43491
5/1/47,43637
6/1/47,43808
7/1/47,43742
8/1/47,43958
9/1/47,44201
10/1/47,44415
11/1/47,44486
12/1/47,44578
1/1/48,44686
2/1/48,44537
3/1/48,44680
4/1/48,44369
5/1/48,44795
6/1/48,45032
7/1/48,45160
8/1/48,45175
9/1/48,45294
10/1/48,45250
11/1/48,45194
12/1/48,45028
1/1/49,44675
2/1/49,44500
3/1/49,44238
4/1/49,44230
5/1/49,43982
6/1/49,43739
7/1/49,43530
8/1/49,43621
9/1/49,43784
10/1/49,42950
11/1/49,43244
12/1/49,43516
1/1/50,43530
2/1/50,43298
3/1/50,43952
4/1/50,44376
5/1/50,44717
6/1/50,45084
7/1/50,45453
8/1/50,46187
9/1/50,46442
10/1/50,46712
11/1/50,46778
12/1/50,46855
1/1/51,47289
2/1/51,47577
3/1/51,47871
4/1/51,47856
5/1/51,47952
6/1/51,48067
7/1/51,48061
8/1/51,48008
9/1/51,47955
10/1/51,48009
11/1/51,48149
12/1/51,48308
1/1/52,48299
2/1/52,48522
3/1/52,48504
4/1/52,48616
5/1/52,48645
6/1/52,48286
7/1/52,48144
8/1/52,48922
9/1/52,49319
10/1/52,49598
11/1/52,49816
12/1/52,50164
1/1/53,50145
2/1/53,50339
3/1/53,50474
4/1/53,50432
5/1/53,50491
6/1/53,50522
7/1/53,50536
8/1/53,50487
9/1/53,50365
10/1/53,50242
11/1/53,49906
12/1/53,49702
1/1/54,49467
2/1/54,49381
3/1/54,49158
4/1/54,49177
5/1/54,48965
6/1/54,48896
7/1/54,48834
8/1/54,48825
9/1/54,48881
10/1/54,48944
11/1/54,49179
12/1/54,49331
1/1/55,49497
2/1/55,49644
3/1/55,49963
4/1/55,50246
5/1/55,50512
6/1/55,50790
7/1/55,50985
8/1/55,51112
9/1/55,51262
10/1/55,51431
11/1/55,51592
12/1/55,51805
1/1/56,51975
2/1/56,52167
3/1/56,52295
4/1/56,52375
5/1/56,52506
6/1/56,52583
7/1/56,51954
8/1/56,52632
9/1/56,52600
10/1/56,52781
11/1/56,52822
12/1/56,52930
1/1/57,52888
2/1/57,53098
3/1/57,53156
4/1/57,53238
5/1/57,53149
6/1/57,53066
7/1/57,53122
8/1/57,53128
9/1/57,52932
10/1/57,52765
11/1/57,52557
12/1/57,52385
1/1/58,52077
2/1/58,51576
3/1/58,51300
4/1/58,51026
5/1/58,50913
6/1/58,50912
7/1/58,51037
8/1/58,51233
9/1/58,51506
10/1/58,51485
11/1/58,51943
12/1/58,52088
1/1/59,52481
2/1/59,52687
3/1/59,53016
4/1/59,53320
5/1/59,53549
6/1/59,53678
7/1/59,53803
8/1/59,53337
9/1/59,53428
10/1/59,53359
11/1/59,53635
12/1/59,54175
1/1/60,54274
2/1/60,54513
3/1/60,54458
4/1/60,54812
5/1/60,54472
6/1/60,54347
7/1/60,54303
8/1/60,54272
9/1/60,54228
10/1/60,54144
11/1/60,53962
12/1/60,53743
1/1/61,53683
2/1/61,53556
3/1/61,53662
4/1/61,53626
5/1/61,53783
6/1/61,53977
7/1/61,54124
8/1/61,54299
9/1/61,54387
10/1/61,54521
11/1/61,54743
12/1/61,54871
1/1/62,54891
2/1/62,55187
3/1/62,55276
4/1/62,55601
5/1/62,55626
6/1/62,55644
7/1/62,55746
8/1/62,55838
9/1/62,55977
10/1/62,56041
11/1/62,56055
12/1/62,56027
1/1/63,56116
2/1/63,56231
3/1/63,56322
4/1/63,56580
5/1/63,56616
6/1/63,56658
7/1/63,56795
8/1/63,56910
9/1/63,57078
10/1/63,57284
11/1/63,57255
12/1/63,57360
1/1/64,57487
2/1/64,57752
3/1/64,57898
4/1/64,57923
5/1/64,58089
